name,state,faa
Worcester Regional Airport,MA,ORH
Scholes International At Galveston Airport,TX,GLS
Kingman Airport,AZ,IGM
Floyd Bennett Memorial Airport,NY,GFL
St Lucie County Intl,FL,FPR
General WM J Fox Airfield,CA,WJF
Kendall-Tamiami Executive Airport,FL,TMB
Sacramento Mather Airport,CA,MHR
Byron Airport,CA,C83
Essex County Airport,NJ,CDW
First Flight Airport,NC,FFA
Laconia Municipal Airport,NH,LCI
Boire Field,NH,ASH
Wiley Post Airport,OK,PWA
Renton Municipal Airport,WA,RNT
Evansville Regional Airport,IN,EVV
Williamsport Regional Airport,PA,IPT
Cobb County-Mc Collum Field,GA,RYY
Northwest Arkansas Regional Airport,AR,XNA
Imperial County Airport,CA,IPL
Ithaca Tompkins Regional Airport,NY,ITH
Jacksonville Executive at Craig Airport,FL,CRG
Appleton Intl,WI,ATW
Minden-Tahoe Airport,NV,MEV
Flying Cloud Airport,MN,FCM
Norwood Memorial Airport,MA,OWD
Shreveport Regional Airport,LA,SHV
Casper-Natrona County Intl,WY,CPR
Fort Smith Regional Airport,AR,FSM
Montgomery Regional (Dannelly Field) Airport,AL,MGM
Atlantic City Intl,NJ,ACY
Cedar City Regional Airport,UT,CDC
Grand Forks Intl,ND,GFK
San Angelo Regional Mathis Field,TX,SJT
Abilene Regional Airport,TX,ABI
Niagara Falls Intl,NY,IAG
Salinas Municipal Airport,CA,SNS
Morristown Municipal Airport,NJ,MMU
Castle Airport,CA,MER
Arlington Municipal Airport,WA,AWO
Chandler Municipal Airport,AZ,CHD
Frederick Municipal Airport,MD,FDK
Ocala Intl - Jim Taylor Field,FL,OCF
Placerville Airport,CA,PVF
Provincetown Municipal Airport,MA,PVC
Charlotte County Airport,FL,PGD
Ryan Field,AZ,RYN
Athens Ben Epps Airport,GA,AHN
Brownsville South Padre Island Intl,TX,BRO
Cherry Capital Airport,MI,TVC
Coleman A. Young Municipal Airport,MI,DET
Mc Minnville Municipal Airport,OR,MMV
Mc Clellan Airfield,CA,MCC
Malcolm McKinnon Airport,GA,SSI
Jack Northrop Field Hawthorne Municipal Airport,CA,HHR
Chico Municipal Airport,CA,CIC
Brackett Field,CA,POC
Gwinnett County Briscoe Field,GA,LZU
Winter Haven Municipal Airport - Gilbert Field,FL,GIF
Augusta Regional At Bush Field,GA,AGS
Fayetteville Regional Grannis Field,NC,FAY
Helena Regional Airport,MT,HLN
Laredo Intl,TX,LRD
North Platte Regional Airport Lee Bird Field,NE,LBF
Juneau Intl,AK,JNU
Tweed New Haven Airport,CT,HVN
Willow Run Airport,MI,YIP
Olympia Regional Airport,WA,OLM
Westfield-Barnes Regional Airport,MA,BAF
Ohio State University Airport,OH,OSU
Ukiah Municipal Airport,CA,UKI
Hancock County-Bar Harbor Airport,ME,BHB
Sugar Land Regional Airport,TX,SGR
Grand Strand Airport,SC,CRE
Chicago Executive Airport,IL,PWK
El Monte Airport,CA,EMT
Hemet Ryan Airport,CA,HMT
Hilton Head Airport,SC,HXD
Hollister Municipal Airport,CA,CVH
Lampson Field,CA,1O2
Oceanside Municipal Airport,CA,OKB
