name,state,faa
Alford Airpark,IN,IN03
Sunrise Acres Airport,KY,71KY
Air Rahe Airport,MI,4MI1
Lada Airport,MI,7MI5
Gradolph Field,MI,88G
Ham-A-Lot Field,MI,MI48
Richey Airport,OH,56OH
Petersburg Airport,OH,OH29
Peterstown Airport,WV,WV10
Forest Hill Airport,TX,4TX3
Cherokee Trail Ranch Airport,CO,2CO1
Fat Chance Airport,CO,36CO
Finkley Farm Airport,AL,2AL8
Bevill Airport,MO,7MO2
Mc Lain  -Calico Airport,MS,MS70
Barrett Field,MS,MS96
Oasis Ranch Airport,SD,0SD6
Staben Strip,SD,
Simpson Airport,WV,9W3
Bobcat Field,MT,1MT6
Albert Airport,PA,1N3
Churchill Airport,KS,07SN
Hartung Airport,NJ,2NJ5
Markle Airport,NJ,2NJ6
Phillipsburg Airport,OH,3I7
Mc Gill's Ultralight Field,AZ,2AZ7
Rabbit Lane Airport,NY,NY31
Eds Field,AZ,20AZ
Diamond A Ranch Airport,NM,81NM
Skeen Ranch Airport,NM,82NM
Mint Julep Airpark,MS,5MS5
George Ford Airport,MS,MS48
Simpson Field,MS,MS61
Lee's Field,MS,MS74
Little River Ranch Airport,OK,79OK
Oolenoy Valley Airport,SC,SC75
Flying B Airport,TX,TS54
King Ranch Airport,NM,83NM
Nalda Ranch Airport,NM,84NM
Happy Mountain Airport,NM,NM41
Poco Loco Airport,NM,NM66
Willis Airport,AL,
Piedmont Municipal Airport,MO,PYN
W L Thompson Airport,SD,SD57
Kastanek Airport,MN,MY15
Bartlett Ranch Airport,AL,AL79
Benton's Airfield,NC,NC36
Austin Field,TN,TN66
Kollmeyer Airport,MO,OMU9
Pilot Point Airport,AK,PNP
Flying J Ranch Airport,AZ,E37
Schumaier Restricted Landing Area,IL,01LL
Lambert Airport,IL,24LL
Panther Field,IL,5IL2
Gross Airport,MI,52I
Butler Airport,WY,WY19
Fairview Farm Airfield,PA,PS20
Pine Hill Municipal Airport,AL,71A
Pine Springs Airport,AZ,45AZ
Triangle Ranch Private Airport,TX,2TA3
Cottingham Airport,IN,1IN6
Pinedale Medical Clinic Heliport,WY,WY28
Wrights Field,GA,2GA3
Mack's Field,GA,2GA4
Everidge Airport,GA,47GA
Pineland Municipal Airport,TX,T24
S&S Flying Service Airport,GA,44GA
B S Ranch Airport,MO,7MO3
Kee Field,WV,I16
Pink Hill Airport,NC,4W9
Pinon Airport,AZ,46AZ
Turkey Creek Airport,AL,AL16
Freedom Springs Ranch Airport,TX,TA66
Medina River Ranch Airport,TX,XS43
Hancock Airport,KS,SN81
Bradbury Airport,IL,25LL
Read Airport,IL,LL46
Russo Airstrip,PA,4PA8
Apple Airport,OH,0OH7
Fry Airport,OH,0OH8
Mc Colloch's Airport,OH,1OI9
Bowman Airport,OH,4OA8
Sobolik Airport,ND,98ND
Harrell Field,MS,MS08
Flying J Airport,OH,79OI
Dunbar Field,IN,II91
Calhoun County Airport,MS,04M
Ron's Ultralight Field,NC,1NC1
Dead Dog Airport,NC,8NC4
Eagles Landing Airport,NC,9NC8
Ski Harbor Airport,MO,67MO
Richardson Field,TX,XA23
Rock Airport,PA,9G1
Brokenstraw Airport,PA,P15
Alliance Airport,NJ,23NJ
White's Airstrip,MD,6MD8
Pixley Airport,CA,P27
Swansboro Country Airport,CA,01CL
Akin Airport,CA,54CN
Treasure Gulch Airport,ID,22ID
Coral Creek Airport,FL,FA54
Parknavy STOLport,OH,0OH9
Mitchell Airport,OH,6OI5
Riley's Field,IL,LL51
Plainfield Intl,WI,5WI2
Runway Leasing Inc Nr 1 Airport,WI,8WI2
Bucky's Airpark,WI,WN09
Peterson Field,GA,4GA5
Plains Municipal Airport,KS,2KS5
Christison Airport,MN,85MN
True Airport,TX,6TS0
Quarterway Airport,TX,7TA3
Horan Airport,TX,9TX3
Riverside Airport,GA,22GA
Plainville Airpark,KS,0R9
John Myers Airport,CA,CA03
Wiley Updike Airport,IL,72IS
Midway Lake Airport,FL,79FD
Blackwater Creek Ultralightport,FL,9FD2
Wilbert Airport,LA,LA15
Simpson Airport,LA,LS49
Platinum Mine Airport,AK,6AK1
Olson Airport,IL,LL53
Platte Municipal Airport,SD,1D3
Flintlock Field,MO,7MO4
Elton Field,MO,7MO5
Platte Valley Airport,MO,MU97
Kugel-Strong Airport,CO,03CO
Tonga Airport,CO,1CD2
Mac's Field,MO,7MO6
Kimray Airport,MO,7MO7
Clark Airport,MO,7MO8
Secret Spot Airport,NY,3NK5
Adirondack Airpark Estates Airport,NY,NY17
Playas Air Strip,NM,NM86
Trulson Field,ND,Y99
Fields Airport,NC,64NC
Van Dyke Strip,CA,25CL
Sopwith Farm Airport,CA,27CL
James Brothers Airport,CA,59CN
Scheidel Ranch Airport,CA,CA07
Riordan Airport,MO,43MO
Inter-State Airport,MO,MO29
Bashore Airport,OH,1OA1
Pleasant Home Gliding Club Gliderport,OH,14OI
Gilmore Airport,KS,57K
Yeamans Fox Nest Airport,KS,6KS5
Weakleys Field,TN,6TN1
Blue Bird Field,TN,7TN0
Adams Strip,OH,83OH
Rwnway Leasing Inc Nr 2 Airport,WI,8WI3
Skunk Hollow Airport,PA,PN83
Clark Airport,IL,23IS
Ames Field,IN,46IN
Berger Airport,IN,II62
Donald's Air Park Inc. Airport,NC,7NC
Compton Airport,IL,3LL9
Slobovia Outernational Airport,MS,MS71
Boomers Field,MD,7MD7
Fair's Airport,MD,MD00
Beverly Airport,MD,MD57
Bucker Field,TX,TE74
Dupouy Airport,IN,3IN2
Falcon Lake Strip,AK,0AK9
Mac Kenzie Country Airpark,AK,2AK0
Carpentiers Strip,AK,64AK
Sleepers Strip,AK,6AK2
Turinsky Airstrip,AK,AK14
Point Mac Airport,AK,AK36
Point Mcintyre Airport,AK,AK11
Monesmith Airport,PA,PA05
Mason County Airport,WV,3I2
Kitty Hawk Estates Airport,WI,9WI6
Langton Airstrip,MT,MT60
Merchant Homestead Airport,NE,7NE6
Flanders Field,FL,4FD7
Kern Field,IA,IA48
Ark-Mo Airport,AR,AR93
Pollock Municipal Airport,LA,L66
Vander Wal Private Airport,SD,SD74
Oak Grove Mcolf Airport,NC,13NC
Bell Strip,NC,1NC4
Hammer Airport,IL,00IL
Gentry Airport,IL,LL55
Mayes Homestead Airport,MO,37MO
Dye Seed Ranch Inc. Airport,WA,58WA
Scott Seed Farm Airport,WA,85WA
Pomona Landing Airport,FL,78FL
Thomas Landing Airport,OK,27OK
Secrest Ranch Airport,OK,OK49
CMRS Airdrome Airport,CO,2CO2
Stevens Strip,LA,32LS
Pond Creek Municipal Airport,OK,2K1
Homestead Farms Airport,OK,O66
Deussen Field,TX,45TE
Hicks Airport,TX,74T
Palmer Field,TX,TE70
Ponderosa Field,TX,XA10
Rooney Airfield,MN,6MN0
Adams Restricted Landing Area Number 2,IL,2LL7
Adams Restricted Landing Area Number 1,IL,70LL
Riverode Farms Airport,IL,71LL
Schott Airport,IL,LL56
Rhea Restricted Landing Area,IL,IS66
Hale Field,MS,0MS7
Pontotoc County Airport,MS,22M
Pope Valley Airport,CA,05CL
Mysterious Valley Airport,CA,20CL
Swank Airport,MT,MT38
Hayes Field,MO,MO67
Poplarville Pearl River County Airport,MS,M13
Wolf River Ranch Airport,MS,MS53
Oreck Airport,MS,MS88
Porcupine Creek Airport,AK,PCK
Johnson Airport,PA,2PA5
Omni Airport,LA,LA46
Wilder/Natwick LLC Airport,AK,AK51
Port Alsworth Airport,AK,TPO
Big Andy Airport,WA,7WA0
Lawson Airpark,WA,WN21
Grindstone Air Harbor Airport,MI,29C
Lake Suzy Estates Airport,FL,20FL
Port Graham Airport,AK,PGM
Tanner's Airport,TX,9TE4
Port Lions Airport,AK,ORI
Port O'Connor Private Airport,TX,XS46
Whetstone Intl,MT,H28
Winchelsea Airport,NJ,8NJ0
Costin Airport,FL,A51
Southern Fruit Groves Airport,FL,FD24
Birdwin Airport,LA,7LA1
Stacey's Airport,WA,WA42
Fillmans Farms Field,OH,57OH
Flying S Ranch Airport,WI,1WI2
Ozaukee Airport,WI,9WN3
Carlson Farm Airport,IN,3IN3
Allen St Peter Memorial Airport,ME,ME05
Coleman Airport,WI,WS28
Portage Creek Airport,AK,A14
Penman Airport,MO,3MO4
Mystery Well Ranch Airport,AZ,25AZ
Pleasant Hill Airport,PA,98PA
Lake Arthur Field,PA,PN84
Windy P Ridge Airport,IN,34IN
Largo Base Airport,ND,5NA2
Fugleberg Farm Airport,ND,6ND6
Hunt Airport,TX,9R5
Magee Airport,TX,TE87
Ralph E. Koch Airport,IN,61Y
Garrett Field,IN,7IN3
Shotgun Ranch Airstrip,OR,42OR
Beach Ranch Airport,TX,2TE7
Beggs Ranch Airport,TX,9TX6
Macy Ranch Airport,TX,9XS3
Otterson Ranch Airport,ID,
Post Mills Airport,VT,2B9
Dale Delight Airport,IA,
Wolf Mountain Airport,OK,OK59
Maurice Dauwe Farm Airport,TX,XS47
Anderson-Plummer Airport,ID,
Reider Ranch Airport,CA,CA75
Eagles Nest Airport,NC,6N9
Hitex Private Airport,TX,9TX7
Nuggs Flying M Airport,TX,TE68
Diamond J Airport,TX,TS85
Dimascio Field,PA,14PA
Bentley Airport,PA,1PN0
Sherman Field,NY,1NY5
Buds Landing Airport,WI,10WI
Patz Airport,WI,5WI9
Frievalt Airport,WI,WS11
Tachick Field,WI,WS29
Cutler Field,OH,
Bunch Grass Intergalactic Airport,WY,WY15
Bakers Field,WY,WY36
Plainview Airport,VA,VA94
Spring Valley Airport,VA,VA95
Pickle Plantation Airport,TX,XS91
Prague Municipal Airport,OK,O47
Smith Prairie Airport,ID,2U0
Hi Country No 2 Airport,OR,97OR
Oxbow Ranch Airport,OR,OR17
Carr Airport,SD,
Erickson Field,WI,19WI
Cub Acres Airport,WI,6WI0
Van Pak Airport,KS,0P1
Higginbotham Field,IN,52IN
Capozzoli Airport,LA,6LA2
Grandpa's Farm Airport,KS,50KS
Weeks Airport,TX,8TX8
4-G Ranch Airport,TX,XS50
Seeligson Ranch Airport,TX,XS51
Head Airfield,AR,2AR7
Kizer Field,AR,4F7
Big Springs Ranch Airport,AZ,AZ27
Tegeler Airport,WI,27WI
Presho Municipal Airport,SD,5P5
Big Bend Ranch State Park Airport,TX,3T9
High Grove Airport,MN,23MN
Fillmore County Airport,MN,FKA
Flying H Ranch Airport,ID,96ID
Valenov Ranch Airport,ID,ID61
Flying W Airport,MD,5MD5
Bluemel Field,MD,5MD7
Foley Airport,IL,72LL
Cameron's Airport,MN,MN47
Reynolds Field,MN,MN91
Princeton-Kauffman Memorial Airport,MO,7MO
Hinton Field,NC,NC72
Jsi Airport,TX,34TA
Bed-Ah-Wick Field,WI,1WI3
Wilson Ranch Airport,OR,OG12
Dry Creek Airpark,OR,OG21
Marty's Tranquility Base,MN,MN76
Lennartson Airport,MN,MN92
Progreso Airport,TX,TS05
Cavage Personal Use Airport,PA,15PA
Doering's Port Airport,IL,LL61
Brandon Airport,PA,PN85
Prospect Creek Airport,AK,PPC
Pleasure Field,TX,47TA
Kathy's Patch Airport,MO,93MO
Aknux Airport,NE,NE38
Mc Whorter Ranch Airport,WA,7WA7
Providence Webster County Airport,KY,8M9
Longs Airport North Airport,OK,OK21
Puff Airpark,MS,2MS7
Edenway Airport,CO,2CO5
Huerfano Agricultural Airport,CO,46CO
Simonson Field,CO,80CO
Rock Creek Airport,CO,99CO
Haiku Airstrip,HI,HI33
Hi 23 Airstrip,HI,HI46
Priebe Landing Strip,SD,SD89
Kidder Field,NY,1NY2
Carter Airport,WI,92C
Walle Field,MI,M86
Lone Tree Ranch Airport,CO,35CO
Fred Babcock Airport,FL,40FL
Payson Ranch Airport,FL,6FL3
Burnt Store Road Heliport,FL,8FL9
Shell Creek Airpark,FL,F13
Babcock H.Q. Airport,FL,FD59
Beefor Ranch Airport,OK,11OK
Rainbow Field,TX,83TA
Ingram Private Airport,MO,MU41
Purkeypile Airport,AK,01A
Rattlesnake Island Airport,OH,58OH
Ralph E. Daniels Airport,IL,LL64
Edgar Read Airport,IL,LL65
Santa's Airport,VT,VT06
Quail Creek Airport,AK,20K
Cuatros Vientos Airport,PA,PA25
Knox Airport,NY,N65
Nettie's Place Airport,NY,NK83
Mock Airport,NJ,3NJ5
Richland Acres Ultralightport,PA,13PN
Hideaway Ultralightport,PA,14PS
Little Britain Airport,PA,79PA
Quartz Creek /Kougarok/ Airport,AK,5QC
Quail Mesa Ranch Airport,AZ,15AZ
Meadow Brook Airport,MD,MD09
Applegate Airport,MO,15MO
Ray Schnepf Ranch Airport,AZ,47AZ
The Queens Airport,AK,93AK
Quemado Airport,NM,NM80
Hughes Ranch Airport,TX,50XS
Questa Municipal Nr 2 Airport,NM,N24
Kimshan Ranch Airport,WA,WN00
Seigfried Halfpap Airport,IL,87IS
Blickhan Lndg Area Airport,IL,88IS
Mast Field,IL,IS45
S and S Field,OH,1OH1
Grigg Farm Airport,WA,79WA
Quincy Municipal Airport,WA,80T
Quincy Flying Service Airport,WA,WA74
Quinhagak Airport,AK,AQH
Quinter Air Strip,KS,6KS1
Blouin Flightpark Ultralightport,LA,4LA9
Drake Airport,IA,2Y1
Viking Airport,NC,94NC
P K Airpark,NC,5W4
Habetz Airport,LA,7LA3
State Prison Field,FL,FL28
Eagle Ridge Ranch Airport,CA,6CA6
Rainelle Airport,WV,WV30
Taylor Airport,WA,3WA0
Rainy Pass Lodge Airport,AK,6AK
Rake Airport,IA,3IA9
Cone Airport,TX,30TE
Candy Kitchen Ranch Airport,NM,NM36
Mystic Bluffs Airport,NM,NM56
Flying T Ranch Airport,CA,CA76
Rampart Airport,AK,RMP
Yorks Field,NC,NC13
Van Vleck Airport,CA,57CN
Inductotherm Airport,NJ,3NJ6
Mc Collough Airfield,KS,SN49
Chandler Field,MN,MN93
Randle-Kiona Airpark,WA,WN55
Pelican Lake Airport,UT,UT69
Aero-Lane Airport,IA,1IA6
Thies Airport,NE,28NE
Randolph Airport,NY,D85
Tnt Ultralightport,TX,5XS0
Brandon Airport,VT,VT55
Ranger Municipal Airport,TX,F23
Cook Canyon Ranch Airport,TX,TA25
Rankin Airport,TX,49F
Egland Field,IL,LL66
Shear Airport,NY,63NY
Highland Farm Airport,KS,28KS
Running Colors Airport,SD,3SD6
Dan's Airport,SD,4SD4
Barber Strip,SD,SD77
La Mesa Park Airport,NM,NM67
Noble Field,NE,56NE
Jetway Airport,OH,61OH
Stoney's Airport,OH,OI32
Jackson County Airport,WV,I18
Ray Community Airport,MI,57D
Yosemite Hidden Lake Ranch Airport,CA,0CL0
Dogwood Acres Airport,MS,4MS2
John Bell Williams Airport,MS,JVW
Aero Estates Airport,WI,1WI6
T.R. Funk Inc Airport,TX,92XS
Bell Airfield,TX,XS56
Hains Airstrip,LA,12LS
Gladney Airport,LA,7LA4
Phoenix Airport,LA,LA30
John H Hooks Jr Memorial Airport,LA,M79
Tri-County Air Service Airport,TX,XS58
Four Seasons Airport,NY,19NY
St. Joseph Medical Center Heliport,PA,22PN
Re-Dun Field,NY,17NK
O S Wyatt Airport,TX,14TS
Zwainz Farms Airport,WA,WA08
Rector Airport,AR,7M8
Harris Airport,VA,VA97
Schloss Adlers Airport,MS,MS55
Meadow Airstrip,CA,3CL2
Voges Airstrip,IL,89IS
Duclos RLA Restricted Landing Area,IL,91LS
Red Devil Airport,AK,RDV
Red Dog Airport,AK,DGG
Crystal Lakes Airport,CO,25CO
Shields Airport,IA,8IA9
Double S Airport,NC,19NC
Wings-N-Wheels Airport,FL,FA50
Tews Field,CA,CA53
Buzzards Roost Airport,WI,1WI7
Harju Airport,WI,20WI
Plantation Pine Airport,WI,3WI8
Redhouse Airfield,VA,7VA5
Nuckols Airport,IN,
Warner's Airport,OR,20OR
Freight Wagon Field,OR,35OR
Cline Falls Air Park,OR,3OR8
River Run Ranch Airport,OR,OR02
Twin Hawks Airpark,AZ,AZ63
Nartron Field,MI,RCT
Hagen Private Airport,ND,14ND
Peg Field,CA,42CN
Kings River Community College Airport,CA,CA13
Federhart-Ophelia STOLport,VA,VA99
Mellon Ranch Airport,TX,XS59
Regan Airstrip,ND,NA88
Tootle Airport,GA,GA34
Warf Airport,NC,6A5
Mountain View Aerodrome,NC,NC37
Remo Private Airport,VA,6VA0
Remer Municipal Airport,MN,52Y
Ashby Airport,IN,II26
Rhynalds Ranch Airport,VA,29VA
Rular Airport,VA,VG07
Remsen City Airport,NY,NY57
Misty Hill Farm Airport,PA,PN14
H Bar H Airport,NV,NV09
Culp Farms Airport,IN,4IN8
Gilmore Airport,IN,II65
Waxwing Airport,NY,NY86
Flying S Ranch Airport,IA,5IA6
Medcalf Field,MO,1MU0
Negrito Airstrip,NM,0NM7
Reserve Airport,NM,T16
Wood Brothers Ranch Airport,ID,ID11
Sandy Creek Ranch Airfield,TX,TX47
Cedar Acres Private Group Airport,PA,23PA
Lundin Airport,SD,SD94
Cary Ranch Airport,OK,6OK5
Flying S Ranch Airport,OK,
Klopfenstein Airport,IN,IN39
Jenson Airport,ND,NA01
Saure Airport,ND,NA02
Vernon Miller Private Airport,ND,NA22
Mc Gee Strip,ND,NA77
Old Rhinebeck Airport,NY,NY94
Pine Grove Airport,WI,WI42
River Valley Airport,WI,WS78
Simpsonville Airport,VA,VG12
Fairview Airport,TX,7TS0
Rhome Meadows Airport,TX,T76
Howard Field,TX,TA02
Little Rock/Rock Port Airport,MN,3MN5
Richardton Airport,ND,4.00E+08
Richey Airport,MT,7U8
Lonesome Field,NC,1NC8
Shootz Field,OH,OI45
Shelley Private Airport,PA,27PN
Jansen Vineyards Airport,PA,PN71
Arrowhead Springs Airport,WI,93WI
Richfield Airport,NY,NY68
Raju Airport,GA,05GA
Brauns Airport,IN,
Richland Municipal Airport,MO,MO1
Richland Airpark,NY,1NY3
Deep Creek Ranch Airport,TX,XS61
Meadow Strip Ultralightport,PA,9PA3
White Airport,IN,IN47
Cochran Airport,KS,1KS1
Jordan Hill Farm Airport,KY,1KY7
Madison Airport,KY,I39
Adair Airstrip,MI,MI33
Robertson Field,MI,MI99
Curtis Field,MO,8MO3
Heritage Ranch Airport,TX,94XS
Coffman Field,VA,0VA5
Flatrock Air Strip,VA,0VA7
Flying W Airport,VA,4VA3
Christian's Airport,VA,4VA8
Holly Springs Airport,VA,80VA
Richton Perry County Airport,MS,M59
Richvale Airport,CA,07CL
Hagen Airport,MN,MY60
Joseph Ross Scherdin Airport,TX,93XS
Richwood Municipal Airport,WV,3I4
Joan Lake Airport,MO,8MO4
Riddle Airport,ID,
Chandler Airport,MD,3MD9
Tera Ultralightport,CA,0CL8
Marble Head Farm Airport,MD,5MD0
Carmean Airport,MD,MD85
Smitty's Landing Airport,MO,1MU2
Pace Airport,VA,VA02
Cambier Airport,IL,LL69
"Holict ""Private"" Airport",TX,XA15
Leo's Place STOLport,KS,1KS3
Norton Field,MI,75MI
Rimrock Airport,AZ,48AZ
Tieton State Airport,WA,4S6
Catoosa Springs STOLport,GA,2GA6
Wilson Airport,GA,GA03
Trumbull Ranch Airport,NE,5NE1
Westbrook Valley Airport,NJ,3NJ9
Bancroft East Airport,WI,4WI1
Higgins Airport,WI,7WI2
Gilbert Field,WI,94C
Walter's Agri-Center Airport,WI,WI28
Casey Three Ranch Airport,TX,XS62
Rio Grande City Municipal Airport,TX,67R
Texas Air Museum Airport,TX,XS63
Farm Services Inc Airport,TX,XS64
Holtsmans Airport,CA,CA16
Cross Wind Acres Airport,TX,TE47
Grand Valley Lands Airport,TX,
Ripley Airport,MS,25M
Flying I Ranch Airport,TN,TN36
Bennet Field,WI,WI67
J & L Aviation Airport,WI,WS46
Fox Mountain Airport,GA,3GE4
Rising Sun Airport,IN,31II
Lynch's Landing Airport,MD,MD61
Hilty Field,OH,OI68
Tree Heart Ranch Airport,WA,8WA5
Pru Field,WA,33S
River Bend Airport,WA,9WA3
Tiger Lake Airport,FL,2FL8
Swanson Ranch Nr 2 Airport,CA,89CA
Garrison Dam Recreational Airpark,ND,37N
Onion Crest Airpark,NE,43NE
Talmage Field,NY,03NY
Lake Mathews Airport,CA,
Burgess Field,MD,8MD6
Stanton Airport,IL,91IS
Pleasantdale Field,VA,4VA9
4 Winds Aerodrome,IN,IN45
Michael Pfister Airport,IL,86IS
Gerig's Field,IN,2IN2
The Wolf Den Airport,IN,44II
Fisher Farm Airport,IN,60IN
Kilsoquah Farm Airport,IN,8IS2
Buzz Field,TX,0TE3
Spratling Field,AL,AL25
Koenig Airpark,LA,LS92
Robert Lee Airport,TX,54F
Roberta Industrial Park Airport,GA,0GA9
Bangart Field,MT,16MT
Rusmar Farms Airport,WI,WS41
Elsanor Airport,AL,1AL4
Wallace Field,AL,AL81
Pecan Ponds Farm Airport,AL,AL84
Whitman Field,ND,ND54
Smith Airport,TX,XA51
Naylor Airport,LA,LA56
Nueces County Airport,TX,RBO
High Man Tower Airstrip,TX,TE62
Rabb Dusting Inc Airport,TX,XS66
Mueller Field,NE,NE79
Weaver Airport,NE,NE80
Watts Field,MS,02MS
Reinke Airport,IL,75IS
Maple Hurst Farms Airport,IL,LL74
Taft Airport,IL,92IS
Trygstad Airport,MN,2MN8
Skatter Creek Airport,WA,20WA
R & K Skyranch Airport,WA,8W9
Van Effen Field,MI,6Y4
Sue Rock Intl,IL,IS93
Chester Wyss Airport,IL,LL75
Hillman Airport,IL,LL91
Hemlock Field,OH,OA07
Country Squire Airport,SC,SC67
Rock Point Airport,AZ,49AZ
Red Creek Ranch Airport,WY,WY41
Cottonwood Airport,IL,1C8
Lz Fairwinds Airport,IL,LL78
Severson Airport,IL,LL79
Darrington Airport,IL,LL80
Spickard-Marshall Airport,IL,LL81
Wells Airport,MI,35C
Rockledge Airport,FL,21FA
San Jose Island Airport,TX,XS67
Four Square Ranch Airport,TX,3TA0
Freeman Ranch Airport,TX,8TX2
Edwards County Airport,TX,ECU
Hackberry Ranch Airport,TX,XS69
Compass Rose Airport,IL,LL87
Harry D Fenton Airport,IL,LL88
Blackhawk Farms Inc Airport,IL,LL89
Mc Curdy Strip,IL,LL90
Butler Field,IN,IN46
Breckenridge Airport,MO,2MO4
Presbyterian Hospital Of Rockwall Heliport,TX,13XS
Phillips Flying Ranch Airport,TX,T48
Dad's Field,IA,IA33
Socatean Bay Airport,ME,13ME
Avery Field,ME,ME22
Walden Ridge Airport,TN,TN86
Melon Field,CO,1CO5
Pegasus Ranch Airport,GA,0GE9
Worley Field,VA,0VA4
Ferguson Airport,VA,81VA
Woody Field Airport,VA,VG40
Venning's Landing Airport,VA,VG53
Rocky Ridge Airport,AZ,50AZ
Rodeo Airport,NM,NM70
Amigos Del Cielo Airport,NM,NM90
Seratt Airport,AR,2AR1
Ozark Aerodrome,AR,AR11
Presque Isle County Airport,MI,PZQ
Malina Airport,MO,MO31
Kay Airport,TN,1TN2
Air Dusters Inc Airport,CO,49CO
Westberg-Rosling Farms Airport,CO,74CO
Springbrook Airport,OR,4OR0
Venture Aerodrome Airpark Nr 2 Ultralightport,OK,OK27
Rolette Airport,ND,2H9
Harrison Private Airport,MO,36MO
Morgan Airport,MO,MO02
Rolla Municipal Airport,ND,06D
Nick's Flying Service Inc Airport,MS,04MS
Rollang Field,MS,5MS1
Wade Airport,MS,MS35
Cummings Field,IN,45II
F R Duke Farm Airport,TX,XS72
Wallace Field,GA,GA77
Stanwix Heights Airport,NY,5NY4
Kriewall Strip,MI,4MI0
Dodge Airport,MI,MI50
Lost Mountain Airport,WV,WV06
Eastview Airport,WV,WV67
Hoversland Airport,MT,MT19
Gum Creek Airport,GA,8GA1
Cox-Coyour Meml Air Field,MN,59MN
Erickson Airport,MN,87MN
Mc Nabb Farm Airport,TX,58TE
Rosalia Municipal Airport,WA,72S
Lloyd's Landing Airport,CA,33CA
Skyotee Ranch Airport,CA,CL74
Double D Ranch Airport,TX,
Mc Curdy Airport,IL,LL94
Pasley Airport,MO,28MO
Skytop Airport,NY,NY03
Roscommon Conservation Airport,MI,3RC
Mc Donald's Strip,AR,AR12
Butler Airpark,KS,4KS7
Rosebud Airport,NM,NM29
Lookingglass Airport,OR,48OR
Umpqua Airport,OR,58OR
George Felt Airport,OR,5S1
Flournoy Valley Airport,OR,95OR
Napier Ranch Airport,OR,OG40
Ray Airport,TN,TN01
Windward Farms Airport,NJ,4NJ0
Fiddyment Field,CA,34CA
Earp Airport,IL,3IS2
Songbird Ranch Airport,TX,91TS
Meyer Field,TX,TA33
Bayless Airport,TX,TS90
Henderson Airport,IL,95IL
Mick Shier Field,WI,6WI6
Tightwaad Air Ranch Airport,TX,XA16
Wolf River Airport,TN,54M
Mehrhoff Field,TN,9TN3
Benedict Airpark,NM,NM20
Jenkins Airport,NM,NM87
Fisher County Airport,TX,56F
Double Jj Resort Ranch Airport,MI,42N
Velo Airstrip,MN,MN95
Bender's Airport,WI,2WI0
Limberlost Ranch Airport,CA,CA21
Ranch-Aero Airport,PA,PN90
Rockenbach Airport,IL,LL97
Round Lake Airport and Seaplane Base,NY,W57
Barker Creek Ranch Airstrip,NV,NV31
Wine Glass Ranch Airport,NV,NV56
Moursund Ranch Airport,TX,71TE
West Ranch Airport,TX,XS75
Haven Wood Airport,MO,MU34
El Paisano Airport,TX,72XS
Bittner-Whitsel Airport,PA,5PN5
Adams Airport,NC,8NC5
West Private Airport,DE,DE21
Holeman Field,NC,NC40
Good Hill Farm Airport,CT,CT59
Thomas Airport,ME,ME17
Roxbury Runway Airport,NY,1NK0
Sand Creek Wildlife Station Airport,MT,MT79
Clavel Ranch Airport,NM,NM15
Ray Ranch Airport,NM,NM17
B & G Farms Airport,WA,4WA0
Christensen Field,WA,8WA6
Adams Private Airport,IL,94IS
Northport Airport,WI,38WI
Bishop Field,TX,68TS
Rives Air Park,TX,T33
Fort Ruby Ranch Airstrip,NV,NV24
Fly By Night Airport,OR,OG13
Folkerts Airport,IA,5IA5
Rugby Municipal Airport,ND,RUG
Paul Airstrip,ND,NA49
Hot Springs Airport,TX,3TE4
Dyer's Field,ME,23ME
Woosley Airport,KY,94KY
Terra Firma Airport,CO,08CO
High Mesa Airport,CO,23CO
Vantage View Airport,CO,7CO6
Cable's Corner Airport,CO,
Skyview Airport,NY,84NY
Rohwer Airport,MN,
Schuy-Rush Airport,IL,5K4
Mcminn Airport,IN,6IN8
Stevens Farms Airport,IN,IN05
Church's Landing Airport,MO,1MU8
Bean Lake Airport,MO,8MO7
Modisett Airport,NE,9V5
Boll Brothers Airstrip,ND,NA03
Rataiczak Airport,OH,OI62
Shield Farm Airport,PA,5PA6
Scandia Air Park,PA,6PA4
Durham Airport,IN,II68
Russellville Logan County Airport,KY,4M7
Kako Airport,AK,9AK2
Breezy Knoll Airport,VA,VA13
Fox Haven Plantation STOLport,NC,58NC
John W Meils Restricted Landing Area,IL,LL98
Mann Ranch Airport,CO,95CO
Ryegate Airport,MT,8U0
Cliffords Airport,ME,ME69
Sabetha Municipal Airport,KS,K83
Blue Sky Airport,MN,3MN7
K Bar Ranch Airport,TX,83TE
Texas Menhaden Strip,TX,XS76
Sharretts Airport,PA,PN91
Sabot Airport,VA,1VA0
Hillside Stables Airport,IA,13IA
Sac City Municipal Airport,IA,SKI
Lauppes Strip,CA,CA22
Shannon Field,KY,17KY
David Lowe Airport,KY,80KY
Baggett Farms Airport,KY,93KY
Masser Field,PA,67PN
Johnson Private Airport,MN,7MN0
Graham Field,TX,XS31
Davidson Field,AR,2AR2
Swan Field,MN,MY13
Circle C Ranch Airport,TX,
Timber Basin Airpark Inc Airport,ID,ID24
Great Lakes Airport,MI,
Life Line 2 Heliport,MO,MO76
Salado Airport,TX,2TX
Morgan Airfield,IN,71IN
Hardin Airport,IN,IN44
Paruszewski Farm Strip,NJ,NJ30
Salem Airfield,NJ,NJ74
O K Dies Airport,OH,64OH
Koons Airport,OH,8G8
