,title,release,distributor,director,rate,directorEff,actorEff,distributorEff,season,release.1,productContinent,showtime,trailershow,genre액션,genre범죄,genre드라마,genre코미디,genre어드벤처,genre멜로.로맨스,genreSF,genre다큐멘터리,genre공연,genre판타지,genre애니메이션,genre공포.호러.,genre성인물.에로.,genre사극,genre미스터리,star.1,firstppl,allpeople
40,레드 툼,2015-07-09,(주)따미픽쳐스,구자환,15세이상관람가,2512,0,2512,0,목요일,아시아,91,23898,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,7,2737
41,다중살인,2015-01-12,스크린조이,마이크 메이홀,청소년관람불가,2,60,1180.44898,0,월요일,북아메리카,84,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,D,2,2
42,아노말리: 타임 게이트,2015-01-12,스크린조이,노엘 클락,청소년관람불가,2,2,1180.44898,0,월요일,유럽,97,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,2,2
43,룰라바이,2015-01-14,(주)누리픽쳐스,앤드류 레비타스,15세이상관람가,1,317075.5,11785.5,0,수요일,북아메리카,117,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1
44,엑스 마키나,2015-01-21,유니버설픽쳐스인터내셔널 코리아(유),알렉스 가랜드,청소년관람불가,78049,1140924.333,615517.7419,0,수요일,북아메리카,108,453860,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,C,9003,78521
45,워터 디바이너,2015-01-28,롯데쇼핑㈜롯데엔터테인먼트,러셀 크로우,15세이상관람가,136134,1091662.333,939394.8315,1,수요일,북아메리카,111,224547,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,3164,136134
46,아이 킬드 마이 마더,2015-01-15,(주)엣나인필름,자비에 돌란,청소년관람불가,27746.66667,2744.666667,30859.85,0,목요일,북아메리카,96,58866,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,2724,6021
47,내 심장을 쏴라,2015-01-28,"(주)리틀빅픽쳐스,(주)이수C&E",문제용,15세이상관람가,387409,747122.1333,190913.7,1,수요일,아시아,102,584972,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,1876,387409
48,꽃보다 처녀귀신,2015-01-15,고구마콘텐츠허브(주),최영민,청소년관람불가,1567,198290.3333,523,0,목요일,아시아,103,131761,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,D,1192,1567
49,세인트 빈센트,2015-03-05,(주)영화사 빅,데오도르 멜피,12세이상관람가,86413,795073.6667,44507.36111,0,목요일,북아메리카,102,75522,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,A,1061,86415
50,빅 아이즈,2015-01-28,판씨네마(주),팀 버튼,12세이상관람가,337400.6667,434143.5,209118.1667,1,수요일,북아메리카,105,601395,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,346,85256
51,블랙버드,2015-01-28,(주)영화사 빅,지나 프린스-바이스우드,15세이상관람가,13130,23581.5,44507.36111,1,수요일,북아메리카,116,72307,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,294,13130
52,킹스맨 : 시크릿 에이전트,2015-02-11,이십세기폭스코리아(주),매튜 본,청소년관람불가,6129681,1149190,1210796.833,0,수요일,북아메리카,128,1464287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,226,6129681
53,서바이벌 워,2015-01-15,스크린조이,마크 밀혼,15세이상관람가,359,359,1180.44898,0,목요일,북아메리카,82,359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,215,359
54,파리 폴리,2015-02-26,(주)티캐스트콘텐츠허브,마르끄 피투시,15세이상관람가,11060,23214,32481.16667,0,목요일,유럽,98,26615,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,98,11060
55,13 이어리,2015-01-21,(주)엘케이픽쳐스,로웰 딘,청소년관람불가,54,29659.33333,20.875,0,수요일,북아메리카,86,54,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,54,54
56,유닛7,2015-01-22,와이드 릴리즈(주),알베르토 로드리게즈,청소년관람불가,1534.5,795.6666667,12370.29167,0,목요일,유럽,95,37201,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,D,50,3068
57,좀비 파이트 클럽,2015-01-15,(주)씨타마운틴픽쳐스,전인호,청소년관람불가,45.5,25,13116.08621,0,목요일,아시아,95,38254,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C,14,14
58,가자! 장미여관으로 3 - 방황 무삭제 감독판,2015-01-15,(주)케이알씨지,김봉은,청소년관람불가,1263.4,1529,489.7926829,0,목요일,아시아,85,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,4,4
